scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,asg,acc,acs,am,ad,tct,tsg,tfc,wf,wd,who,lnk,fpu,dt,fs,dn,ds,ls,dr,sd,sr,die,tip,dc,all,co,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
LPM ,2023inmish,qm,5,r2,868,[71],[17],0,1,0,e,[],[14],0,0,0,,0,0,0,e,2,1,2,g,1,3,0,0,0,1,"Good at defense, placing not observed",,,,,,,,
RMK,2023inmish,qm,5,r1,4982,[71],[],1,0,0,x,[107.7],[],0,0,0,,0,0,13.9,a,1,0,0,x,0,1,1,0,1,0,Poor grip on cones and cubes,,,,,,,,
WC,2023inmish,qm,6,b3,5484,[62],[10],1,0,1,x,"[20.2,4.2,33.2,7.6]","[10,11,33]",0,0,0,,1,2,15.4,e,2,1,1,x,0,2,0,0,1,0,,,,,,,,,
AMK,2022carv,qm,6,b1,328,[26],[],1,1,1,x,"[6.7,1.5,10.7,11.7]",[35],0,1,0,,0,u,4.8,e,2,a,0,x,0,3,0,0,0,1,,,,,,,,,
JAM,2023inmish,qm,6,r3,868,[47],[5],0,0,1,e,[],[14],0,0,0,,0,2,0,e,2,-1,0,g,1,3,0,0,0,1,Very precise but doesn't take cubes,,,,,,,,
AMB,2023inmish,qm,6,b2,1501,[38],[],0,0,0,x,[],[22],0,1,0,,0,0,0,x,0,1,0,b,1,3,1,1,0,0,"Fell over, didnt move during auto",,,,,,,,
RMK,2023inmish,qm,6,r1,461,[71],[17],1,0,0,x,"[12.9,29.9,21.7,38.6]","[9,7,15,8]",0,1,0,,1,0,5.9,e,2,2,1,a,1,4,0,0,0,1,Fast,,,,,,,,
SGG,2023inmish,qm,6,b1,328,[64],[],1,0,1,x,"[26.2,50.5,23.5]","[17,25,35]",0,0,0,,0,3,2.3,e,2,1,3,a,0,3,0,0,0,1,,,,,,,,,
RP,2023inmish,qm,6,r1,461,[69],[9],0,0,1,x,[],"[16,18,17]",0,1,0,,1,2,0,e,2,2,1,x,0,4,0,0,0,1,,,,,,,,,
ela,2023inmish,qm,6,r3,7477,[35],[],0,0,0,x,[120.2],[],0,0,0,,0,1,0,x,2,0,0,x,0,1,0,0,1,0,"they ran into the walls, very slow",,,,,,,,
Mdm,2023inmish,qm,6,b2,1501,[37],[],0,0,0,x,[12.9],"[23,12,4]",0,1,0,,0,0,0,x,2,1,0,x,1,3,1,1,0,0,Fell over,,,,,,,,
LRS,2023inmish,qm,6,b3,5484,[26],[],1,1,1,x,[],[10],0,0,0,,0,3,0,e,2,1,1,x,1,3,0,1,0,1,,,,,,,,,
AMK,2022inmish,qm,7,b1,1018,[38],[],0,0,0,x,"[10.6,9.8,6.1,4.1,0.7]","[5,8,14,16]",0,1,0,,1,x,13,e,2,v,0,x,0,5,0,1,0,1,Fast,,,,,,,,
LRS,2023inmish,qm,7,b3,5402,[62],[],0,0,0,x,"[507.9,48.4]","[1,11]",0,0,0,,0,1,0,e,2,1,0,x,1,3,0,0,0,0,,,,,,,,,
AMB,2023inmish,qm,7,b2,3176,[26],[7],1,1,1,e,[],"[6,4,3,5]",0,1,0,,1,2,0,x,2,2,0,g,1,4,0,0,0,0,,,,,,,,,
ADO,2023inmish,qm,7,b3,5402,[62],[],0,0,0,x,[],"[1,4,11]",0,0,0,,0,1,16.2,e,2,1,0,x,0,2,0,0,0,0,Didnt do anything at auto,,,,,,,,
Mdm,2023inmish,qm,7,b2,3176,[25],[7],1,0,1,e,"[4.1,7.5,25.7,51.3]","[6,7,3]",0,1,0,,1,2,0,p,2,2,2,a,1,4,0,0,0,0,Knocked over other robot,,,,,,,,
RLP,2023inmish,qm,7,r1,135,[71],[17],0,0,1,x,[],"[8,18,36,35]",0,0,0,,0,3,0,p,1,1,0,x,0,2,0,0,0,0,,,,,,,,,
TJM,2023inmish,qm,7,b2,3176,[26],[],0,1,1,e,"[4.7,18.6]","[6,7,8,3]",0,0,0,,1,0,0,x,0,1,0,x,1,3,0,0,0,0,,,,,,,,,
COJ,2023inmish,qm,7,b1,1018,[38],[],0,0,0,x,"[7.1,38.7]","[5,14]",0,1,0,,0,2,27.3,e,2,1,0,x,0,4,0,0,0,0,,,,,,,,,
LJA,2023inmish,qm,7,r1,135,[71],[35],1,0,1,x,[],"[8,18,17,36]",0,0,0,,0,3,0,a,1,2,0,x,1,3,1,0,0,1,Good at picking up and placing cubes,,,,,,,,
ela,2023inmish,qm,7,r3,9071,[47],[],0,1,0,x,[92.7],[],0,0,1,1018,0,1,0,x,1,2,0,a,0,3,1,0,0,0,got knocked over by 3176,,,,,,,,
JAM,2023inmish,qm,7,r2,9208,[35],[2],1,0,1,x,[],"[1,3,7]",0,0,0,,1,0,0,e,0,2,0,x,0,4,0,0,0,1,Similar design to us,,,,,,,,
CAH,2023inmish,qm,7,r3,9071,[59],[],1,1,1,x,[],[],0,0,1,3176,0,0,0,x,0,1,0,b,0,1,1,1,0,0,Oof ,,,,,,,,
Zmb,2023inmish,qm,8,r3,9119,[12],[],0,0,0,x,[],[],0,0,0,,0,,0,x,0,,0,x,0,1,0,0,0,0,Did not show,,,,,,,,
LPM,2023inmish,qm,8,r2,4926,[59],[],0,1,0,e,[],"[14,29,30,28,31]",0,0,0,,1,2,0,x,1,1,1,x,0,3,0,0,0,1,Great at getting floor cubes,,,,,,,,
AMB,2023inmish,qm,8,b2,4982,[26],[],0,0,0,x,[],[],0,0,0,,0,2,0,x,2,0,0,b,0,1,1,0,1,0,"Froze, barely moved, never scored",,,,,,,,
JAM,2023inmish,qm,8,r2,4926,[47],[],0,0,1,e,[],"[14,29,30,28,31]",0,0,0,,1,2,0,a,0,2,0,g,0,4,0,0,0,1,,,,,,,,,
RLP,2023inmish,qm,8,r1,910,[71],[],1,0,1,x,[],"[9,8,7,16]",0,0,0,,0,0,0,a,0,1,0,x,0,4,0,0,0,0,,,,,,,,,
Mdm,2023inmish,qm,8,b2,4982,[25],[],0,0,0,x,[],[],0,0,0,,0,2,0,p,2,0,0,x,0,3,1,0,0,0,,,,,,,,,
AMK,2022inmish,qm,8,b1,2197,[38],[],1,1,1,a,[],[],0,1,0,,0,x,25.6,e,2,a,0,x,0,5,0,0,1,0,Very zoomy but gets james often,,,,,,,,
LJA,2023inmish,qm,8,r1,910,[71],[],1,0,0,x,[28.2],"[9,8,7,15]",0,1,0,,1,3,6.8,a,0,2,1,x,1,4,0,0,0,1,Good at taking cones from other side.,,,,,,,,
COJ,2023inmish,qm,8,b1,2197,[38],[],0,1,1,x,[],[],1,1,0,,0,0,27.5,e,2,2,0,x,0,5,0,0,0,1,,,,,,,,,
ela,2023inmish,qm,8,r3,9919,[35],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,0,-1,0,x,0,3,0,0,0,0,wasn't there,,,,,,,,
ADO,2023inmish,qm,8,b3,6956,[62],[],1,0,1,x,[],"[2,1]",0,0,0,,1,1,2.2,e,2,1,0,x,0,3,0,1,1,0,Able to help stuck bot,,,,,,,,
LRS,2023inmish,qm,8,b3,6956,[62],[],1,1,1,x,[4.7],[2],0,1,0,,1,,14,e,2,1,0,x,0,3,0,1,0,1,,,,,,,,,
LPM ,2023inmish,qm,9,r2,461,[47],[32],0,1,0,a,[],"[3,20,21,6,5]",0,0,0,,1,2,0,a,0,2,2,x,1,3,0,0,0,0,Decent,,,,,,,,
EAR,2023inmish,qm,9,b3,2909,[58],[],0,0,0,x,"[8.4,28.5]","[19,21]",0,0,0,,0,1,12.3,e,2,1,0,a,0,2,0,0,1,0,Meh,,,,,,,,
Ado,2023inmish,qm,9,b3,2909,[62],[],1,1,1,x,[],[1],0,1,0,,0,1,12.9,e,2,0,0,x,0,2,0,0,1,0,"Didnt score much, struggled to pick up anything",,,,,,,,
ela,2023inmish,qm,9,r3,3936,[47],[],0,0,0,x,"[24.9,33.3]","[1,4,16]",0,0,0,,1,,0,d,3,1,1,x,0,3,0,0,0,1,very effective in getting cones,,,,,,,,
Cjn,2023inmish,qm,9,r2,461,[47],[],0,0,0,x,"[27.1,11.0,26.7,3.9]","[3,6,5]",0,1,0,,0,0,0,d,2,2,4,e,1,3,0,0,0,0,,,,,,,,,
LJA,2023inmish,qm,9,r1,2867,[70],[],1,0,0,x,[],"[27,34]",0,0,1,",7477",0,3,0,d,3,1,0,x,0,3,0,0,0,0,,,,,,,,,
SGG,2023inmish,qm,9,b1,7477,[2],[],0,0,0,x,[4.5],[1],0,0,0,,0,0,0,p,2,0,0,x,0,2,0,0,0,0,,,,,,,,,
ZD,2023inmish,qm,9,b1,7477,[50],[],0,0,0,x,[],[18],0,0,0,,0,1,0,x,2,1,0,a,1,3,0,0,1,0,Did nothing of note,,,,,,,,
AMB,2023inmish,qm,9,b2,3940,[38],[],0,0,0,x,[],"[6,4]",0,1,0,,0,0,0,e,2,1,0,b,1,3,0,1,1,0,Data does not include auton period,,,,,,,,
CRU,2023inmish,qm,10,b2,6721,[62],[32],0,0,0,e,[],[],0,0,0,,0,,0,x,0,1,0,e,0,3,1,0,0,0,,,,,,,,,
CJN,2023inmish,qm,10,r2,3865,[35],[],0,0,0,x,[14.1],[5],0,0,0,,0,1,2.5,e,3,0,0,x,0,1,0,0,0,0,,,,,,,,,
